int_id,breast,glia,cervix,colorectal,endometrium,testes,thyroid,kidney,liver,lung,lymph,pancreas,prostate,skin,melanocyte,stomach,urinary,head.and.neck,ovary,norm.carcinoid
5419,3,1.3333333333333333,2.5,2.6666666666666665,2,2,3,1,1,3,3,2.5,1,2.6666666666666665,3,3,3,3,2,2.4285714285714284
5420,1,1.3333333333333333,1.5,1.3333333333333333,1.75,2,2,1.5,1,2,2,2.5,2,2,2,2.5,2,2,2,1.8333333333333333
5421,1,1.3333333333333333,1,2.6666666666666665,0.75,1,2,1.5,0.5,0,0.5,2,2,1,2,2.5,1,1.3333333333333333,0,2.1666666666666665
5422,0.5,0.3333333333333333,0,1.6666666666666667,1,1.75,0,1,1,1,1.5,2,2,0.3333333333333333,0,1.5,2,1,0,1.7142857142857142
5423,2,2,3,2.3333333333333335,2,2.75,3,2.5,2,2,1.5,2.5,3,2.3333333333333335,2,2,3,2.6666666666666665,1,2.2857142857142856
5424,0.5,0,0,1,0.25,2.25,1,1,1,1,1,1.5,0,0.3333333333333333,0,2,0,0.6666666666666666,0,0.8571428571428571
5425,0,0,0,0,0,0.25,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.42857142857142855
5426,1,0.6666666666666666,1.5,2,1,2,2,1.5,0,2,0.5,1.5,2,1.6666666666666667,1,2,2,2.3333333333333335,1,1.8571428571428572
5427,0,0.3333333333333333,2,1.3333333333333333,1.75,2,2,1,0,1,1,1.5,0,2,2,2,2,2,0,1.1666666666666667
5428,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5429,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5430,0.5,0,0.5,0,0.25,1,0,0.5,0,0,0.5,0,0,1.3333333333333333,2,0,2,1.3333333333333333,0,0
5431,1,2,1,2,1,2.25,1,2.5,2,2,0.5,2,2,1,1,2,2,1.3333333333333333,2,2.2857142857142856
5432,0,1.6666666666666667,1.5,0.3333333333333333,1.5,2,0,0.5,0,0,0,0,1,0,0,0,1,0.3333333333333333,0,0.42857142857142855
5433,1,0.6666666666666666,0,1.6666666666666667,0.25,1.5,2,1.5,1.5,1,1,1,0,1.3333333333333333,1,2,1,1.3333333333333333,0,1.1428571428571428
5434,1.5,0.6666666666666666,1.5,1.3333333333333333,1.25,2,1,0.5,0,0,2,2,2,2,2,2,2,1.3333333333333333,0,1.8571428571428572
5435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5436,0,0,0,0.3333333333333333,0.25,1.25,1,1.5,0,0,0,0,0,0.3333333333333333,0,0,0,0.6666666666666666,0,0
5437,1,0.3333333333333333,0,0,0.5,1.75,2,1.5,0,0,0,1.5,2,0.3333333333333333,0,0.5,0,1,0,1.2
5438,0,0.3333333333333333,1,1.3333333333333333,1,1.75,2,1,1,2,0,1,2,0.6666666666666666,0,2,1,1.6666666666666667,0,1.3333333333333333
5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5440,3,2.6666666666666665,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3
5441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5442,0.5,0,1,1.3333333333333333,0.5,1.75,2,1.5,0.5,0,1,2,2,0.6666666666666666,0,1.5,2,1.3333333333333333,1,1.6666666666666667
5443,1,1.3333333333333333,0.5,1.3333333333333333,0.75,1.25,1,1,0.5,1,1,1.5,1,1,0,2,2,1,1,1.3333333333333333
5444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5445,0.5,1,1.5,2,2.5,2.75,2,1.5,1,2,2,1.5,2,2,3,2.5,2,2,1,1.8571428571428572
5446,0.5,1,0,1.5,1,1.75,2,1,2,0,0,2,2,0.3333333333333333,2,2,2,1.3333333333333333,0,1.8
5447,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3333333333333333,0,0,0,0,0,0.5714285714285714
5448,1,1.3333333333333333,2,2.6666666666666665,1.5,2.5,2,2,1,1,2,2.5,3,2.3333333333333335,2,3,2,2.3333333333333335,2,2.7142857142857144
5449,1.5,1,2.5,1.3333333333333333,1.5,2.25,2,2,0,2,1.5,1.5,1,2,2,2.5,3,2.6666666666666665,2,1.4285714285714286
5450,0.5,1,0,1.6666666666666667,0.5,2,3,0,0.5,2,1,0,0,0.3333333333333333,1,0,1,0,0,1.1428571428571428
5451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5452,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.14285714285714285
5453,1,3,2,2,1,2,3,2,0,3,2,2.5,1,2,2,3,2,1.6666666666666667,2,2.142857142857143
5454,1,1,1.5,2,0.25,2,2,1.5,1,0,0,2,2,1,2,2,2,2,2,2
5455,1.5,1.6666666666666667,2,1,1.25,1.5,1,1.5,2.5,2,1.5,1,3,3,2,2,2,1.6666666666666667,1,1.3333333333333333
5456,1,0.3333333333333333,1,2,0.75,2.25,2,2,1.5,0,1.5,2.5,2,2,1,3,2,1.6666666666666667,0,2
5457,0.5,0,0.5,0.6666666666666666,0.5,1.75,2,0.5,1.5,1,0.5,2,2,1.6666666666666667,2,2,2,1.6666666666666667,1,1.5714285714285714
5458,1,0,1,2,1,1.75,0,2,0.5,0,0.5,1,2,2,2,2,2,2,0,1.8571428571428572
5459,1,0,1.5,1.6666666666666667,0.25,1.5,2,1.5,1.5,0,0,0.5,1,1.6666666666666667,1,2,1,2,0,1.1666666666666667
5460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5461,0.5,0,1.5,2.3333333333333335,1.25,2,2,2,0.5,1,1.5,1.5,2,1.3333333333333333,1,3,2,1.6666666666666667,0,2
5462,3,3,3,3,1.25,2.75,3,3,2,3,3,2.5,3,3,3,3,3,3,3,2.857142857142857
5463,1,0.3333333333333333,1.5,1.6666666666666667,1.5,1.75,3,1.5,2,2,1.5,2,2,1.6666666666666667,2,2,2,1.3333333333333333,1,2
5464,0,0,0,0.3333333333333333,0,1.25,1,0.5,0.5,0,0.5,0.5,0,0,0,1,0,0.6666666666666666,0,0.2857142857142857
